,CODGEO\DEP,medecins,population,FCA,desert_medical
386,77406,0.0,1005.0,3.366560963009606e-05,True
387,77407,2.0,14315.0,5.550279087949378e-05,False
388,77408,0.0,425.0,3.7947139240886224e-05,False
389,77409,0.0,2769.0,3.524741031406462e-05,False
390,77410,0.0,746.0,4.832479168706929e-05,False
391,77411,0.0,560.0,3.4641552538744985e-05,False
392,77412,0.0,386.0,4.30400702166444e-05,False
393,77413,0.0,3849.0,3.890355220457806e-05,False
394,77414,0.0,489.0,3.21059422846494e-05,True
395,77415,0.0,1281.0,3.7092494632590776e-05,False
396,77416,0.0,247.0,3.315713825960061e-05,True
397,77417,0.0,254.0,3.356963922384887e-05,True
398,77418,0.0,871.0,3.101871806977726e-05,True
399,77419,0.0,3404.0,3.650640878372249e-05,False
400,77420,0.0,3846.0,4.7236926981388635e-05,False
401,77421,0.0,256.0,3.1995116799679786e-05,True
402,77423,0.0,658.0,3.25567687043256e-05,True
403,77424,0.0,274.0,3.3649458153834114e-05,True
404,77425,0.0,730.0,4.4496083950690904e-05,False
405,77426,0.0,332.0,3.921346613277547e-05,False
406,77427,0.0,608.0,4.736936284725752e-05,False
407,77428,0.0,834.0,3.6650520591578055e-05,False
408,77429,0.0,533.0,3.207160244186902e-05,True
409,77430,0.0,6238.0,4.2232674847159963e-05,False
410,77431,0.0,5408.0,3.474262651123111e-05,False
411,77432,0.0,987.0,3.355209334481637e-05,True
412,77433,0.0,1992.0,3.5817083182714005e-05,False
413,77434,0.0,366.0,2.8840546665495574e-05,True
414,77435,0.0,1102.0,4.77297597037733e-05,False
415,77436,0.0,905.0,3.371729386130343e-05,True
416,77437,0.0,3574.0,4.168829729353447e-05,False
417,77438,0.0,6304.0,5.5396827273097454e-05,False
418,77439,0.0,1170.0,3.352399055238147e-05,True
419,77440,0.0,1138.0,3.6065511762984516e-05,False
420,77441,0.0,2024.0,4.6031253543169926e-05,False
421,77442,0.0,2441.0,4.223526625295788e-05,False
422,77443,0.0,390.0,3.748720365072039e-05,False
423,77444,0.0,324.0,3.240218932668146e-05,True
424,77445,2.0,30169.0,6.357541183030585e-05,False
425,77446,0.0,598.0,3.0022901234039984e-05,True
426,77447,0.0,1835.0,5.269205923272154e-05,False
427,77448,0.0,547.0,3.6595314157544954e-05,False
428,77449,0.0,9699.0,4.745292227235311e-05,False
429,77450,0.0,3308.0,6.153198099792176e-05,False
430,77451,0.0,584.0,3.578516283375068e-05,False
431,77452,0.0,66.0,2.754620216016727e-05,True
432,77453,0.0,1136.0,4.761607014041437e-05,False
433,77454,0.0,367.0,2.9082920063379593e-05,True
434,77455,0.0,2038.0,4.80406879833065e-05,False
435,77456,0.0,823.0,3.076416327603551e-05,True
436,77457,0.0,1212.0,4.7083700608161414e-05,False
437,77458,1.0,5253.0,4.69804069311982e-05,False
438,77459,0.0,1519.0,3.380553538033895e-05,False
439,77460,0.0,338.0,3.5914350566653474e-05,False
440,77461,0.0,299.0,2.752485768119383e-05,True
441,77462,0.0,893.0,4.8377525927020725e-05,False
442,77463,0.0,3419.0,4.06464210642288e-05,False
443,77464,1.0,10427.0,5.398696295468406e-05,False
444,77465,0.0,646.0,3.2822832832964666e-05,True
445,77466,0.0,378.0,4.1120059997338186e-05,False
446,77467,0.0,203.0,3.243748029216615e-05,True
447,77468,3.0,22500.0,6.425429427808058e-05,False
448,77469,0.0,1224.0,3.636185112871938e-05,False
449,77470,3.0,8429.0,5.665122484317738e-05,False
450,77471,0.0,349.0,4.0132702682687754e-05,False
451,77472,0.0,492.0,3.319902399151652e-05,True
452,77473,0.0,404.0,3.3609837937647386e-05,True
453,77474,0.0,666.0,4.291946179221381e-05,False
454,77475,0.0,5020.0,3.961279659626172e-05,False
455,77476,0.0,230.0,3.805157082630709e-05,False
456,77477,0.0,855.0,4.06153636649054e-05,False
457,77478,0.0,1085.0,3.6682911976567396e-05,False
458,77479,0.0,13340.0,6.186364709551308e-05,False
459,77480,0.0,1056.0,3.5796585814613704e-05,False
460,77481,0.0,188.0,3.302379902320628e-05,True
461,77482,0.0,3660.0,3.830210292646043e-05,False
462,77483,0.0,2077.0,3.96918223896048e-05,False
463,77484,0.0,284.0,3.692801526507311e-05,False
464,77485,0.0,730.0,4.021531217353779e-05,False
465,77486,0.0,893.0,3.5299879451925444e-05,False
466,77487,0.0,11102.0,5.736378636411371e-05,False
467,77489,0.0,237.0,3.250540341556376e-05,True
468,77490,0.0,689.0,3.64746131006102e-05,False
469,77492,0.0,641.0,3.3711213284729216e-05,True
470,77493,0.0,3186.0,3.971777879120394e-05,False
471,77494,0.0,2630.0,3.705046720608028e-05,False
472,77495,0.0,8564.0,5.415003851322035e-05,False
473,77496,0.0,189.0,3.208156897360062e-05,True
474,77498,0.0,313.0,4.274540352186103e-05,False
475,77500,0.0,463.0,3.382585609260118e-05,False
476,77501,0.0,720.0,3.374020142508544e-05,True
477,77504,0.0,1096.0,3.3500532743107e-05,True
478,77505,0.0,381.0,3.77925398026246e-05,False
479,77506,0.0,789.0,3.396509781354593e-05,False
480,77507,0.0,424.0,3.022334971465116e-05,True
481,77508,0.0,1862.0,4.5191920197792864e-05,False
482,77509,0.0,615.0,3.128230992109009e-05,True
483,77510,0.0,1193.0,4.8069301196926365e-05,False
484,77511,0.0,645.0,4.8944167846506595e-05,False
485,77512,0.0,1128.0,3.2321086569327666e-05,True
486,77513,0.0,4982.0,4.5672561028523496e-05,False
487,77514,0.0,26700.0,5.843758417102212e-05,False
488,77515,0.0,701.0,4.299176034587705e-05,False
489,77516,0.0,845.0,3.3852383427700953e-05,False
490,77517,0.0,2135.0,5.252529104795908e-05,False
491,77518,0.0,234.0,4.9202001948456554e-05,False
492,77519,0.0,1168.0,3.2315660322930596e-05,True
493,77520,0.0,659.0,3.822809252593881e-05,False
494,77521,0.0,1928.0,4.0844018469829775e-05,False
495,77522,0.0,297.0,3.078281654743894e-05,True
496,77523,0.0,258.0,3.0536639947191187e-05,True
497,77524,0.0,522.0,2.8985190351616855e-05,True
498,77525,0.0,382.0,4.31237907648543e-05,False
499,77526,0.0,276.0,3.9283436606661425e-05,False
500,77527,0.0,583.0,3.75425091997205e-05,False
501,77528,0.0,1168.0,5.472448548602665e-05,False
502,77529,0.0,1490.0,3.950932356872846e-05,False
503,77530,0.0,310.0,3.207992529283201e-05,True
504,77531,0.0,1645.0,3.20783801068702e-05,True
505,77532,0.0,65.0,3.3384930726602814e-05,True
506,77533,0.0,2743.0,4.1073964562640885e-05,False
507,77534,0.0,949.0,4.3557631726444264e-05,False
508,78003,0.0,3509.0,4.440284709786609e-05,False
509,78005,0.0,21660.0,6.55079492559667e-05,False
510,78006,0.0,654.0,4.1201928423164934e-05,False
511,78007,0.0,1085.0,6.217703427566869e-05,False
512,78009,0.0,286.0,4.189933965509025e-05,False
513,78010,0.0,1215.0,5.246383382040568e-05,False
514,78013,0.0,482.0,4.351822326036277e-05,False
515,78015,1.0,13236.0,6.105036833135776e-05,False
516,78020,0.0,940.0,3.972836489570374e-05,False
